Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
1992,Females,75–84,72,18.94
1992,Females,85–94,33,28.57
1992,Males,15–24,5,0.7
1992,Males,25–34,27,1.93
1992,Males,35–44,45,3.4
1992,Males,45–54,62,6.16
1992,Males,55–64,98,13.3
1992,Males,65–74,143,25.34
1992,Males,75–84,113,45.18
1992,Males,85–94,28,59.19
1992,Persons,15–24,10,0.43
1992,Persons,25–34,46,1.6
1992,Persons,35–44,87,3.27
1992,Persons,45–54,110,5.54
1992,Persons,55–64,141,9.64
1992,Persons,65–74,225,18.61
1992,Persons,75–84,185,29.34
1992,Persons,85–94,61,37.51
1993,Females,15–24,1,0.2
1993,Females,25–34,8,0.55
1993,Females,35–44,23,1.74
1993,Females,45–54,34,3.4
1993,Females,55–64,39,5.33
1993,Females,65–74,61,9.31
1993,Females,75–84,75,19.35
1993,Females,85–94,31,25.47
1993,Males,15–24,8,0.56
1993,Males,25–34,29,2.08
1993,Males,35–44,59,4.4
1993,Males,45–54,76,7.22
1993,Males,55–64,122,16.5
1993,Males,65–74,149,25.74
1993,Males,75–84,110,42.99
1993,Males,85–94,28,55.72
1993,Persons,15–24,9,0.3
1993,Persons,25–34,37,1.3
1993,Persons,35–44,82,3.05
1993,Persons,45–54,110,5.33
1993,Persons,55–64,161,10.93
1993,Persons,65–74,210,16.99
1993,Persons,75–84,185,28.76
1993,Persons,85–94,59,34.36
1994,Females,15–24,0,
1994,Females,25–34,15,1.1
1994,Females,35–44,28,2.1
1994,Females,45–54,41,3.93
1994,Females,55–64,40,5.41
1994,Females,65–74,70,10.48
1994,Females,75–84,65,16.5
1994,Females,85–94,29,22.81
1994,Males,15–24,5,0.38
1994,Males,25–34,17,1.16
1994,Males,35–44,61,4.52
1994,Males,45–54,82,7.51
1994,Males,55–64,101,13.52
1994,Males,65–74,175,29.39
1994,Males,75–84,136,52.07
1994,Males,85–94,32,60.15
1994,Persons,15–24,5,0.21
1994,Persons,25–34,32,1.16
1994,Persons,35–44,89,3.33
1994,Persons,45–54,123,5.76
1994,Persons,55–64,141,9.49
1994,Persons,65–74,245,19.39
1994,Persons,75–84,201,30.66
1994,Persons,85–94,61,33.88
1995,Females,15–24,5,0.43
1995,Females,25–34,21,1.51
1995,Females,35–44,31,2.28
1995,Females,45–54,57,5.2
1995,Females,55–64,44,5.87
1995,Females,65–74,73,10.79
1995,Females,75–84,69,17.06
1995,Females,85–94,33,24.64
1995,Males,15–24,4,0.25
1995,Males,25–34,28,2
1995,Males,35–44,58,4.18
1995,Males,45–54,71,6.33
1995,Males,55–64,110,14.57
1995,Males,65–74,150,24.91
1995,Males,75–84,145,53.44
1995,Males,85–94,35,61.86
1995,Persons,15–24,9,0.35
1995,Persons,25–34,49,1.71
1995,Persons,35–44,89,3.21
1995,Persons,45–54,128,5.73
1995,Persons,55–64,154,10.23
1995,Persons,65–74,223,17.47
1995,Persons,75–84,214,31.71
1995,Persons,85–94,68,35.72
1996,Females,15–24,3,0.4
1996,Females,25–34,7,0.49
1996,Females,35–44,35,2.47
1996,Females,45–54,48,4.22
1996,Females,55–64,42,5.57
1996,Females,65–74,66,9.76
1996,Females,75–84,73,17.42
1996,Females,85–94,48,34.09
1996,Males,15–24,4,0.3
1996,Males,25–34,25,1.75
1996,Males,35–44,46,3.27
1996,Males,45–54,79,6.79
1996,Males,55–64,86,11.15
1996,Males,65–74,151,24.7
1996,Males,75–84,144,50.68
1996,Males,85–94,47,78.3
1996,Persons,15–24,7,0.31
1996,Persons,25–34,32,1.1
1996,Persons,35–44,81,2.89
1996,Persons,45–54,127,5.53
1996,Persons,55–64,128,8.38
1996,Persons,65–74,217,16.88
1996,Persons,75–84,217,30.88
1996,Persons,85–94,95,47.3
1997,Females,15–24,6,0.5
1997,Females,25–34,22,1.54
1997,Females,35–44,31,2.17
1997,Females,45–54,40,3.44
1997,Females,55–64,48,6.18
1997,Females,65–74,78,11.49
1997,Females,75–84,70,16.11
1997,Females,85–94,30,20.16
1997,Males,15–24,3,0.26
1997,Males,25–34,14,1.01
